event,UID,authors,emails,title,keywords,abstract,DOI
pldi,pldi.67,Michael Sammler|Rodolphe Lepigre|Robbert Krebbers|Kayvan Memarian|Derek Dreyer|Deepak Garg,,RefinedC: Automating the Foundational Verification of C Code with Refined Ownership Types,C programming language|separation logic|ownership types|refinement types|proof automation|Iris|Coq,"Given the central role that C continues to play in systems software, and the difficulty of writing safe and correct C code, it remains a grand challenge to develop effective formal methods for verifying C programs. In this paper, we propose a new approach to this problem: a type system we call textbf{RefinedC}, which combines emph{ownership types} (for modular reasoning about shared state and concurrency) with emph{refinement types} (for encoding precise invariants on C data types and Hoare-style specifications for C functions).  RefinedC is both emph{automated} (requiring minimal user intervention) and emph{foundational} (producing a proof of program correctness in Coq), while at the same time handling a range of low-level programming idioms such as pointer arithmetic. In particular, following the approach of RustBelt, the soundness of the RefinedC type system is justified semantically by interpretation into the Coq-based Iris framework for higher-order concurrent separation logic. However, the typing rules of RefinedC are also designed to be encodable in a new ``separation logic programming&#39;&#39; language we call textbf{Lithium}. By restricting to a carefully chosen (yet expressive) fragment of separation logic, Lithium supports predictable, automatic, goal-directed proof search emph{without backtracking}. We demonstrate the effectiveness of RefinedC on a range of representative examples of C code.",10.1145/3453483.3454036
pldi,pldi.72,Michael Christensen|Timothy Sherwood|Jonathan Balkind|Ben Hardekopf,,Wire Sorts: A Language Abstraction for Safe Hardware Composition,hardware description languages|modules|composition,"Effective digital hardware design fundamentally requires decomposing a design into a set of interconnected modules, each a distinct unit of computation and state. However, naively connecting hardware modules leads to real-world pathological cases which are surprisingly far from obvious when looking at the interfaces alone and which are very difficult to debug after synthesis. We show for the first time that it is possible to soundly abstract even complex combinational dependencies of arbitrary hardware modules through the assignment of IO ports to one of four new sorts which we call: $textbf{to-sync}$, $textbf{to-port}$, $textbf{from-sync}$, and $textbf{from-port}$. This new taxonomy, and the reasoning it enables, facilitates modularity by escalating problematic aspects of module input/output interaction to the language-level interface specification. We formalize and prove the soundness of our new wire sorts, implement them in a practical hardware description language, and demonstrate they can be applied and even inferred automatically at scale. Through an examination of the BaseJump STL, the OpenPiton manycore research platform, and a complete RISC-V implementation, we find that even on our biggest design containing 1.5 million primitive gates, analysis takes less than 31 seconds; that across 172 unique modules analyzed, the inferred sorts are widely distributed across our taxonomy; and that by using wire sorts, our tool is $2.6textendash33.9$x faster at finding loops than standard synthesis-time cycle detection.",10.1145/3453483.3454037
pldi,pldi.76,Wookeun Jung|Thanh Tuan Dao|Jaejin Lee,,DeepCuts: A Deep Learning Optimization Framework for Versatile GPU Workloads,GPU|Deep Learning|Code Generation,"Widely used Deep Learning (DL) frameworks, such as TensorFlow, PyTorch, and MXNet, heavily rely on the NVIDIA cuDNN for performance. However, using cuDNN does not always give the best performance. One reason is that it is hard to handle every case of versatile DNN models and GPU architectures with a library that has a fixed implementation. Another reason is that cuDNN lacks kernel fusion functionality that gives a lot of chances to improve performance. In this paper, we propose a DL optimization framework for versatile GPU workloads, called DeepCuts. It considers both kernel implementation parameters and GPU architectures. It analyzes the DL workload, groups multiple DL operations into a single GPU kernel, and generates optimized GPU kernels considering kernel implementation parameters and GPU architecture parameters. The evaluation result with various DL workloads for inference and training indicates that DeepCuts outperforms cuDNN/cuBLAS-based implementations and the state-of-the-art DL optimization frameworks, such as TVM, TensorFlow XLA, and TensorRT.",10.1145/3453483.3454038
pldi,pldi.82,KC Sivaramakrishnan|Stephen Dolan|Leo White|Tom Kelly|Sadiq Jaffer|Anil Madhavapeddy,,Retrofitting Effect Handlers onto OCaml,Effect handlers|Backwards compatibility|Fibers|Continuations|Backtraces,"Effect handlers have been gathering momentum as a mechanism for modular     programming with user-defined effects. Effect handlers allow for non-local    control flow mechanisms such as generators, async/await, lightweight threads   and coroutines to be composably expressed. We present a design and evaluate   a full-fledged efficient implementation of effect handlers for OCaml, an     industrial-strength multi-paradigm programming language. Our implementation   strives to maintain the backwards compatibility and performance profile of    existing OCaml code. Retrofitting effect handlers onto OCaml is challenging   since OCaml does not currently have any non-local control flow mechanisms    other than exceptions. Our implementation of effect handlers for OCaml: {em   (i)}~imposes a mean 1% overhead on a comprehensive macro benchmark suite    that does not use effect handlers; {em (ii)}~remains compatible with program  analysis tools that inspect the stack; and {em (iii)}~is efficient for new   code that makes use of effect handlers.",10.1145/3453483.3454039
pldi,pldi.83,Anouk Paradis|Benjamin Bichsel|Samuel Steffen|Martin Vechev,,Unqomp: Synthesizing Uncomputation in Quantum Circuits,Quantum Circuits|Uncomputation|Synthesis,"A key challenge when writing quantum programs is the need for &#60;i&#62;uncomputation&#60;/i&#62;: temporary values produced during the computation must be reset to zero before they can be safely discarded. Unfortunately, most existing quantum languages require tedious manual uncomputation, often leading to inefficient and error-prone programs. We present Unqomp, the first procedure to automatically synthesize uncomputation in a given quantum circuit. Unqomp can be readily integrated into popular quantum languages, allowing the programmer to allocate and use temporary values analogously to classical computation, knowing they will be uncomputed by Unqomp. Our evaluation shows that programs leveraging Unqomp are not only shorter (-19% on average), but also generate more efficient circuits (-71% gates and -19% qubits on average).",10.1145/3453483.3454040
pldi,pldi.92,David Castro-Perez|Francisco Ferreira|Lorenzo Gheri|Nobuko Yoshida,,Zooid: A DSL for Certified Multiparty Computation: From Mechanised Metatheory to Certified Multiparty Processes,multiparty session types|mechanisation|Coq|concurrent processes|protocol compliance|deadlock freedom|liveness,"We design and implement Zooid, a domain specific language for certified multiparty communication, embedded in Coq and implemented atop our mechanisation framework of asynchronous multiparty session types (the first of its kind). Zooid provides a fully mechanised metatheory for the semantics of global and local types, and a fully verified end-point process language that faithfully reflects the type-level behaviours and thus inherits the global types properties such as deadlock freedom, protocol compliance, and liveness guarantees.",10.1145/3453483.3454041
pldi,pldi.99,Huaipan Jiang|Haibo Zhang|Xulong Tang|Vineetha Govindaraj|Jack Sampson|Mahmut Taylan Kandemir|Danfeng Zhang,,Fluid: A Framework for Approximate Concurrency via Controlled Dependency Relaxation,Eager Execution|Approximate Computing,"In this work, we introduce the Fluid framework, a set of language, compiler and runtime extensions that allow for the expression of regions within which dataflow dependencies can be approximated in a disciplined manner. Our framework allows the eager execution of dependent tasks before their inputs have finalized in order to capitalize on situations where an eagerly-consumed input has a high probability of sufficiently resembling the value or structure of the final value that would have been produced in a conservative/precise execution schedule. We introduce controlled access to the early consumption of intermediate values and provide hooks for user-specified quality assurance mechanisms that can automatically enforce re-execution of eagerly-executed tasks if their output values do not meet heuristic expectations. Our experimental analysis indicates that the fluidized versions of the applications bring 22.2% average execution time improvements, over their original counterparts, under the default values of our fluidization parameters. The Fluid approach is largely orthogonal to approaches that aim to reduce the task effort itself and we show that utilizing the Fluid framework can yield benefits for both originally precise and originally approximate versions of computation.",10.1145/3453483.3454042
pldi,pldi.106,Paschalis Mpeis|Pavlos Petoumenos|Kim Hazelwood|Hugh Leather,,Developer and User-Transparent Compiler Optimization for Interactive Applications,iterative compilation|capture|replay|interactive,"Traditional offline optimization frameworks rely on representative hardware, software, and inputs to compare different optimization decisions on. With application-specific optimization for mobile systems though, the idea of a representative test bench is unrealistic while creating offline inputs is non-trivial. Online approaches partially overcome these problems but they might expose users to suboptimal or even erroneously optimized code. As a result, our mobile code is poorly optimized and this results in wasted performance, wasted energy, and user frustration. In this paper, we introduce a novel compiler optimization approach designed for mobile applications. It requires no developer effort, it tunes applications for the user’s device and usage patterns, and has no negative impact on the user experience. It is based on a lightweight capture and replay mechanism. In its online stage, it captures the state accessed by any targeted code region. By re-purposing existing OS capabilities, it keeps the overhead low. In its offline stage, it replays the code region but under different optimization decisions to enable sound comparisons of different optimizations under realistic conditions. Coupled with a search heuristic for the compiler optimization space, it allows us to discover optimization decisions that improve performance without testing these decisions directly on the user. We implemented a prototype system in Android based on LLVM combined with a genetic search engine. We evaluated it on both benchmarks and real Android applications. Online captures are infrequent and each one introduces an overhead of less than 15ms on average. For this negligible effect on user experience, we achieve speedups of 44% on average over the Android compiler and 35% over LLVM -O3.",10.1145/3453483.3454043
pldi,pldi.111,Benno Stein|Bor-Yuh Evan Chang|Manu Sridharan,,Demanded Abstract Interpretation,Abstract interpretation|Incremental computation|Demand-driven query evaluation|Demanded fixed points,"We consider the problem of making expressive static analyzers interactive. Formal static analysis is seeing increasingly widespread adoption as a tool for verification and bug-finding, but even with powerful cloud infrastructure it can take minutes or hours to get batch analysis results after a code change. While existing techniques offer some demand-driven or incremental aspects for certain classes of analysis, the fundamental challenge we tackle is doing both for arbitrary abstract interpreters. Our technique, demanded abstract interpretation, lifts program syntax and analysis state to a dynamically evolving graph structure, in which program edits, client-issued queries, and evaluation of abstract semantics are all treated uniformly. The key difficulty addressed by our approach is the application of general incremental computation techniques to the complex, cyclic dependency structure induced by abstract interpretation of loops with widening operators. We prove that desirable abstract interpretation meta-properties, including soundness and termination, are preserved in our approach, and that demanded analysis results are equal to those computed by a batch abstract interpretation. Experimental results suggest promise for a prototype demanded abstract interpretation framework: by combining incremental and demand-driven techniques, our framework consistently delivers analysis results at interactive speeds, answering 95% of queries within 1.2 seconds.",10.1145/3453483.3454044
pldi,pldi.112,Jingxuan He|Cheng-Chun Lee|Veselin Raychev|Martin Vechev,,Learning to Find Naming Issues with Big Code and Small Supervision,Name-based program analysis|Static analysis|Bug detection|Anomaly detection|Machine learning,"We introduce a new approach for finding and fixing naming issues in source code. The method is based on a careful combination of unsupervised and supervised procedures: (i) unsupervised mining of patterns from Big Code that express common naming idioms. Program fragments violating such idioms indicates likely naming issues, and (ii) supervised learning of a classifier on a small labeled dataset which filters potential false positives from the violations.  We implemented our method in a system called Namer and evaluated it on a large number of Python and Java programs. We demonstrate that Namer is effective in finding naming mistakes in real world repositories with high precision (~70%). Perhaps surprisingly, we also show that existing deep learning methods are not practically effective and achieve low precision in finding naming issues (up to ~16%).",10.1145/3453483.3454045
pldi,pldi.115,Michael Fischer|Giovanni Campagna|Euirim Choi|Monica S. Lam,,DIY Assistant: A Multi-modal End-User Programmable Virtual Assistant,end-user programming|programming by demon- stration|web automation|voice user interfaces|virtual assis- tants,"While Alexa can perform over 100,000 skills, its capability covers only a fraction of what is possible on the web. Individuals need and want to automate a long tail of web-based tasks which often involve visiting different websites and require programming concepts such as function composition, conditional, and iterative evaluation. This paper presents DIYA (Do-It-Yourself Assistant), a new system that empowers users to create personalized web-based virtual assistant skills that require the full generality of composable control constructs, without having to learn a formal programming language.  With DIYA, the user demonstrates their task of interest in the browser and issues a few simple voice commands, such as naming the skills and adding conditions on the action. DIYA turns these multi-modal specifications into voice-invocable skills written in the ThingTalk 2.0 programming language we designed for this purpose. DIYA is a prototype that works in the Chrome browser. Our user studies show that 81% of the proposed routines can be expressed using DIYA. DIYA is easy to learn, and 80% of users surveyed find DIYA useful.",10.1145/3453483.3454046
pldi,pldi.121,Qiaochu Chen|Aaron Lamoreaux|Xinyu Wang|Greg Durrett|Osbert Bastani|Isil Dillig,,Web Question Answering with Neurosymbolic Program Synthesis,Program Synthesis|Programming by Example|Web Information Extraction,"In this paper, we propose a new technique based on program synthesis for extracting information from webpages. Given a natural language query and a few labeled webpages, our method synthesizes a program that can be used to extract similar types of information from other unlabeled webpages. To handle websites with diverse structure, our approach employs a neurosymbolic DSL that incorporates both neural NLP models as well as standard language constructs for tree navigation and string manipulation. We also propose an optimal synthesis algorithm that generates all DSL programs that achieve optimal $F_1$ score on the training examples. Our synthesis technique is compositional, prunes the search space by exploiting a monotonicity property of the DSL, and uses transductive learning to select programs with good generalization power. We have implemented these ideas in a new tool called WebQA and evaluate it on 25 different tasks across multiple domains. Our experiments show that WebQA significantly outperforms existing tools such as state-of-the-art question answering models and wrapper induction systems.",10.1145/3453483.3454047
pldi,pldi.124,Sankha Narayan Guria|Jeffrey S. Foster|David Van Horn,,RbSyn: Type- and Effect-Guided Program Synthesis,program synthesis|type and effect systems|Ruby,"In recent years, researchers have explored component-based synthesis, which aims to automatically construct programs that operate by composing calls to existing APIs. However, prior work has not considered efficient synthesis of methods with side effects, e.g., web app methods that update a database. In this paper, we introduce RbSyn, a novel type- and effect-guided synthesis tool for Ruby. An RbSyn synthesis goal is specified as the type for the target method and a series of test cases it must pass. RbSyn works by recursively generating well-typed candidate method bodies whose write effects match the read effects of the test case assertions. After finding a set of candidates that separately satisfy each test, RbSyn synthesizes a solution that branches to execute the correct candidate code under the appropriate conditions. We formalize RbSyn on a core, object-oriented language $lambda_{syn}$ and describe how the key ideas of the model are scaled-up in our implementation for Ruby. We evaluated RbSyn on 19 benchmarks, 12 of which come from popular, open-source Ruby apps. We found that RbSyn synthesizes correct solutions for all benchmarks, with 15 benchmarks synthesizing in under 9 seconds, while the slowest benchmark takes 83 seconds. Using observed reads to guide synthesize is effective: using type-guidance alone times out on 10 of 12 app benchmarks. We also found that using less precise effect annotations leads to worse synthesis performance. In summary, we believe type- and effect-guided synthesis is an important step forward in synthesis of effectful methods from test cases.",10.1145/3453483.3454048
pldi,pldi.126,Jay P. Lim|Santosh Nagarakatte,,High Performance Correctly Rounded Math Libraries for 32-bit Floating Point Representations,elementary functions|correctly rounded math libraries|floating point|posits|piecewise polynomials,"This paper proposes a set of techniques to develop correctly rounded math libraries for 32-bit float and posit types. It enhances our RLIBM approach that frames the problem of generating correctly rounded libraries as a linear programming problem in the context of 16-bit types to scale to 32-bit types. Specifically, this paper proposes new algorithms to (1) generate polynomials that produce correctly rounded outputs for all inputs using counterexample guided polynomial generation, (2) generate efficient piecewise polynomials with bit-pattern based domain splitting, and (3) deduce the amount of freedom available to produce correct results when range reduction involves multiple elementary functions. The resultant math library for the 32-bit float type is faster than state-of-the-art math libraries while producing the correct output for all inputs. We have also developed a set of correctly rounded elementary functions for 32-bit posits.",10.1145/3453483.3454049
pldi,pldi.127,Meghan Cowan|Deeksha Dangwal|Armin Alaghi|Caroline Trippel|Vincent T. Lee|Brandon Reagen,,Porcupine: A Synthesizing Compiler for Vectorized Homomorphic Encryption,homomorphic encryption|vectorization|program synthesis,"Homomorphic encryption (HE) is a privacy-preserving technique that enables computation directly on encrypted data. Despite its promise, HE has seen limited use due to performance overheads and compilation challenges. Recent work has made significant advances to address the performance overheads but automatic compilation of efficient HE kernels remains relatively unexplored.  This paper presents Porcupine, an optimizing compiler that generates vectorized HE code using program synthesis. HE poses three major compilation challenges: it only supports a limited set of SIMD-like operators, it uses long-vector operands, and decryption can fail if ciphertext noise growth is not managed properly. Porcupine captures the underlying HE operator behavior so that it can automatically reason about the complex trade-offs imposed by these challenges to generate optimized, verified HE kernels. To improve synthesis time, we propose a series of optimizations including a sketch design tailored to HE to narrow the program search space. We evaluate Porcupine using a set of kernels and show speedups of up to 52% (25% geometric mean) compared to heuristic-driven hand-optimized kernels. Analysis of Porcupine&#39;s synthesized code reveals that optimal solutions are not always intuitive, underscoring the utility of automated reasoning in this domain.",10.1145/3453483.3454050
pldi,pldi.130,Ridwan Shariffdeen|Yannic Noller|Lars Grunske|Abhik Roychoudhury,,Concolic Program Repair,program repair|symbolic execution|program synthesis|patch overfitting,"Automated program repair reduces the manual effort in fixing program errors. However, existing repair techniques modify a buggy program such that it passes given tests. Such repair techniques do not discriminate between correct patches and patches that overfit the available tests (breaking untested but desired functionality). We propose an integrated approach for detecting and discarding overfitting patches via systematic co-exploration of the patch space and input space. We leverage concolic path exploration to systematically traverse the input space (and generate inputs), while ruling out significant parts of the patch space. Given a long enough time budget, this approach allows a significant reduction in the pool of patch candidates, as shown by our experiments. We implemented our technique in the form of a tool called &#39;CPR&#39; and evaluated its efficacy in reducing the patch space by discarding overfitting patches from a pool of plausible patches. We evaluated our approach for fixing real-world software vulnerabilities and defects, for fixing functionality errors in programs drawn from SV-COMP benchmarks used in software verification, as well as for test-suite guided repair. In our experiments, we observed a patch space reduction due to our concolic exploration of up to 74% for fixing software vulnerabilities and up to 63% for SV-COMP programs. Our technique presents the viewpoint of gradual correctness - repair run over longer time leads to less overfitting fixes.",10.1145/3453483.3454051
pldi,pldi.144,Sebastian Erdweg|Tamás Szabó|André Pacak,,"Concise, Type-Safe, and Efficient Structural Diffing",tree diffing|incremental computing,"A structural diffing algorithm compares two pieces of tree-shaped data and computes their difference. Existing structural diffing algorithms either produce concise patches or ensure type safety, but never both. We present a new structural diffing algorithm called truediff that achieves both properties by treating subtrees as mutable, yet linearly typed resources. Mutation is required to derive concise patches that only mention changed nodes, but, in contrast to prior work, truediff guarantees all intermediate trees are well-typed. We formalize type safety, prove truediff has linear run time, and evaluate its performance and the conciseness of the derived patches empirically for real-world Python documents. While truediff ensures type safety, the size of its patches is on par with Gumtree, a popular untyped diffing implementation. Regardless, truediff outperforms Gumtree and a typed diffing implementation by an order of magnitude.",10.1145/3453483.3454052
pldi,pldi.145,Sam Lasser|Chris Casinghino|Kathleen Fisher|Cody Roux,,CoStar: A Verified ALL(*) Parser,parsing|interactive theorem proving,"Parsers are security-critical components of many software systems, and verified parsing therefore has a key role to play in secure software design. However, existing verified parsers for context-free grammars are limited in their expressiveness, termination properties, or performance characteristics. They are only compatible with a restricted class of grammars, they are not guaranteed to terminate on all inputs, or they are not designed to be performant on grammars for real-world programming languages and data formats.  In this work, we present textsc{CoStar}, a verified parser that addresses these limitations. The parser is implemented with the Coq Proof Assistant and is based on a purely functional adaptation of the ALL(*) parsing algorithm. textsc{CoStar} is compatible with arbitrary non-left-recursive grammars; if the parser is applied to a non-left-recursive grammar, it produces a correct parse tree for its input whenever such a tree exists, and it correctly detects ambiguous inputs. textsc{CoStar} also provides strong termination guarantees; it terminates without error on all inputs when applied to a non-left-recursive grammar. The parser is therefore a decision procedure for language membership. Finally, textsc{CoStar} achieves linear-time performance on a range of unambiguous grammars for commonly used languages and data formats.",10.1145/3453483.3454053
